x,y,z,mismatch_rate,n_mismatch,n_total
-0.0388,-0.1449,0.1608,0.0,0,4
-0.0388,0.1449,0.1608,0.0,0,4
-0.0518,-0.1932,0.1608,0.0,0,4
-0.0518,0.1932,0.1608,0.0,0,4
-0.0647,-0.2415,0.1608,0.0,0,4
-0.0647,0.2415,0.1608,0.0,0,4
-0.075,-0.1299,0.1608,0.0,0,4
-0.075,0.1299,0.1608,0.0,0,4
-0.0776,-0.2898,0.1608,0.5,2,4
-0.0776,0.2898,0.1608,0.5,2,4
-0.0906,-0.3381,0.1608,0.0,0,4
-0.0906,0.3381,0.1608,0.0,0,4
-0.1,-0.1732,0.1608,0.0,0,4
-0.1,0.1732,0.1608,0.0,0,4
-0.1035,-0.3864,0.1608,0.0,0,4
-0.1035,0.3864,0.1608,0.0,0,4
-0.1061,-0.1061,0.1608,0.0,0,4
-0.1061,0.1061,0.1608,0.0,0,4
-0.1165,-0.4347,0.1608,0.0,0,4
-0.1165,0.4347,0.1608,0.0,0,4
-0.125,-0.2165,0.1608,0.0,0,4
-0.125,0.2165,0.1608,0.0,0,4
-0.1294,-0.483,0.1608,0.25,1,4
-0.1294,0.483,0.1608,0.75,3,4
-0.1299,-0.075,0.1608,0.0,0,4
-0.1299,0.075,0.1608,0.0,0,4
-0.1414,-0.1414,0.1608,0.0,0,4
-0.1414,0.1414,0.1608,0.0,0,4
-0.1424,-0.5313,0.1608,0.5,2,4
-0.1424,0.5313,0.1608,0.75,3,4
-0.1449,-0.0388,0.1608,0.0,0,4
-0.1449,0.0388,0.1608,0.0,0,4
-0.15,-0.0,0.1608,0.0,0,4
-0.15,-0.2598,0.1608,0.5,2,4
-0.15,0.2598,0.1608,0.5,2,4
-0.1732,-0.1,0.1608,0.0,0,4
-0.1732,0.1,0.1608,0.0,0,4
-0.175,-0.3031,0.1608,0.0,0,4
-0.175,0.3031,0.1608,0.0,0,4
-0.1768,-0.1768,0.1608,0.0,0,4
-0.1768,0.1768,0.1608,0.0,0,4
-0.1932,-0.0518,0.1608,0.0,0,4
-0.1932,0.0518,0.1608,0.0,0,4
-0.2,-0.0,0.1608,0.0,0,4
-0.2,-0.3464,0.1608,0.0,0,4
-0.2,0.3464,0.1608,0.0,0,4
-0.2121,-0.2121,0.1608,0.5,2,4
-0.2121,0.2121,0.1608,0.5,2,4
-0.2165,-0.125,0.1608,0.0,0,4
-0.2165,0.125,0.1608,0.0,0,4
-0.225,-0.3897,0.1608,0.0,0,4
-0.225,0.3897,0.1608,0.25,1,4
-0.2415,-0.0647,0.1608,0.0,0,4
