x,y,z,ok
-0.45,-0.4,0.09,True
-0.45,-0.38,0.09,True
-0.45,-0.36,0.09,True
-0.45,-0.34,0.09,True
-0.45,-0.32,0.09,True
-0.45,-0.3,0.09,True
-0.45,-0.28,0.09,True
-0.45,-0.26,0.09,True
-0.45,-0.24,0.09,True
-0.45,-0.22,0.09,True
-0.45,-0.2,0.09,True
-0.45,-0.18,0.09,True
-0.45,-0.16,0.09,True
-0.45,-0.14,0.09,True
-0.45,-0.12,0.09,True
-0.45,-0.1,0.09,True
-0.45,-0.08,0.09,True
-0.45,-0.06,0.09,True
-0.45,-0.04,0.09,True
-0.45,-0.02,0.09,True
-0.45,0.0,0.09,True
-0.45,0.02,0.09,True
-0.45,0.04,0.09,True
-0.45,0.06,0.09,True
-0.45,0.08,0.09,True
-0.45,0.1,0.09,True
-0.45,0.12,0.09,True
-0.45,0.14,0.09,True
-0.45,0.16,0.09,True
-0.45,0.18,0.09,True
-0.45,0.2,0.09,True
-0.45,0.22,0.09,True
-0.45,0.24,0.09,True
-0.45,0.26,0.09,True
-0.45,0.28,0.09,True
-0.45,0.3,0.09,True
-0.45,0.32,0.09,True
-0.45,0.34,0.09,True
-0.45,0.36,0.09,True
-0.45,0.38,0.09,True
-0.45,0.4,0.09,True
-0.43,-0.4,0.09,True
-0.43,-0.38,0.09,True
-0.43,-0.36,0.09,True
-0.43,-0.34,0.09,True
-0.43,-0.32,0.09,True
-0.43,-0.3,0.09,True
-0.43,-0.28,0.09,True
-0.43,-0.26,0.09,True
-0.43,-0.24,0.09,True
-0.43,-0.22,0.09,True
-0.43,-0.2,0.09,True
-0.43,-0.18,0.09,True
-0.43,-0.16,0.09,True
-0.43,-0.14,0.09,True
-0.43,-0.12,0.09,True
-0.43,-0.1,0.09,True
-0.43,-0.08,0.09,True
-0.43,-0.06,0.09,True
-0.43,-0.04,0.09,True
-0.43,-0.02,0.09,True
-0.43,0.0,0.09,True
-0.43,0.02,0.09,True
-0.43,0.04,0.09,True
-0.43,0.06,0.09,True
-0.43,0.08,0.09,True
-0.43,0.1,0.09,False
-0.43,0.12,0.09,True
-0.43,0.14,0.09,True
-0.43,0.16,0.09,True
-0.43,0.18,0.09,True
-0.43,0.2,0.09,True
-0.43,0.22,0.09,True
-0.43,0.24,0.09,True
-0.43,0.26,0.09,True
-0.43,0.28,0.09,True
-0.43,0.3,0.09,True
-0.43,0.32,0.09,True
-0.43,0.34,0.09,True
-0.43,0.36,0.09,True
-0.43,0.38,0.09,True
-0.43,0.4,0.09,True
-0.41,-0.4,0.09,True
-0.41,-0.38,0.09,True
-0.41,-0.36,0.09,True
-0.41,-0.34,0.09,True
-0.41,-0.32,0.09,True
-0.41,-0.3,0.09,True
-0.41,-0.28,0.09,True
-0.41,-0.26,0.09,True
-0.41,-0.24,0.09,True
-0.41,-0.22,0.09,True
-0.41,-0.2,0.09,True
-0.41,-0.18,0.09,True
-0.41,-0.16,0.09,True
-0.41,-0.14,0.09,True
-0.41,-0.12,0.09,True
-0.41,-0.1,0.09,True
-0.41,-0.08,0.09,True
-0.41,-0.06,0.09,True
-0.41,-0.04,0.09,True
-0.41,-0.02,0.09,True
-0.41,0.0,0.09,True
-0.41,0.02,0.09,True
-0.41,0.04,0.09,True
-0.41,0.06,0.09,True
-0.41,0.08,0.09,True
-0.41,0.1,0.09,True
-0.41,0.12,0.09,True
-0.41,0.14,0.09,True
-0.41,0.16,0.09,True
-0.41,0.18,0.09,True
-0.41,0.2,0.09,True
-0.41,0.22,0.09,True
-0.41,0.24,0.09,True
-0.41,0.26,0.09,True
-0.41,0.28,0.09,True
-0.41,0.3,0.09,True
-0.41,0.32,0.09,True
-0.41,0.34,0.09,True
-0.41,0.36,0.09,True
-0.41,0.38,0.09,True
-0.41,0.4,0.09,True
-0.39,-0.4,0.09,True
-0.39,-0.38,0.09,True
-0.39,-0.36,0.09,True
-0.39,-0.34,0.09,False
-0.39,-0.32,0.09,True
-0.39,-0.3,0.09,True
-0.39,-0.28,0.09,True
-0.39,-0.26,0.09,True
-0.39,-0.24,0.09,True
-0.39,-0.22,0.09,True
-0.39,-0.2,0.09,True
-0.39,-0.18,0.09,True
-0.39,-0.16,0.09,True
-0.39,-0.14,0.09,True
-0.39,-0.12,0.09,True
-0.39,-0.1,0.09,False
-0.39,-0.08,0.09,True
-0.39,-0.06,0.09,True
-0.39,-0.04,0.09,True
-0.39,-0.02,0.09,True
-0.39,0.0,0.09,True
-0.39,0.02,0.09,True
-0.39,0.04,0.09,False
-0.39,0.06,0.09,True
-0.39,0.08,0.09,True
-0.39,0.1,0.09,True
-0.39,0.12,0.09,True
-0.39,0.14,0.09,True
-0.39,0.16,0.09,True
-0.39,0.18,0.09,True
-0.39,0.2,0.09,True
-0.39,0.22,0.09,True
-0.39,0.24,0.09,True
-0.39,0.26,0.09,True
-0.39,0.28,0.09,True
-0.39,0.3,0.09,True
-0.39,0.32,0.09,True
-0.39,0.34,0.09,True
-0.39,0.36,0.09,True
-0.39,0.38,0.09,True
-0.39,0.4,0.09,True
-0.37,-0.4,0.09,True
-0.37,-0.38,0.09,True
-0.37,-0.36,0.09,True
-0.37,-0.34,0.09,True
-0.37,-0.32,0.09,True
-0.37,-0.3,0.09,True
-0.37,-0.28,0.09,True
-0.37,-0.26,0.09,True
-0.37,-0.24,0.09,True
-0.37,-0.22,0.09,True
-0.37,-0.2,0.09,True
-0.37,-0.18,0.09,True
-0.37,-0.16,0.09,True
-0.37,-0.14,0.09,True
-0.37,-0.12,0.09,True
-0.37,-0.1,0.09,True
-0.37,-0.08,0.09,True
-0.37,-0.06,0.09,True
-0.37,-0.04,0.09,True
-0.37,-0.02,0.09,True
-0.37,0.0,0.09,True
-0.37,0.02,0.09,True
-0.37,0.04,0.09,True
-0.37,0.06,0.09,True
-0.37,0.08,0.09,True
-0.37,0.1,0.09,True
-0.37,0.12,0.09,True
-0.37,0.14,0.09,True
-0.37,0.16,0.09,True
-0.37,0.18,0.09,True
-0.37,0.2,0.09,True
-0.37,0.22,0.09,True
-0.37,0.24,0.09,True
-0.37,0.26,0.09,True
-0.37,0.28,0.09,True
-0.37,0.3,0.09,True
-0.37,0.32,0.09,True
-0.37,0.34,0.09,True
-0.37,0.36,0.09,True
-0.37,0.38,0.09,True
-0.37,0.4,0.09,True
-0.35,-0.4,0.09,True
-0.35,-0.38,0.09,True
-0.35,-0.36,0.09,True
-0.35,-0.34,0.09,True
-0.35,-0.32,0.09,True
-0.35,-0.3,0.09,True
-0.35,-0.28,0.09,True
-0.35,-0.26,0.09,True
-0.35,-0.24,0.09,True
-0.35,-0.22,0.09,True
-0.35,-0.2,0.09,True
-0.35,-0.18,0.09,False
-0.35,-0.16,0.09,True
-0.35,-0.14,0.09,False
-0.35,-0.12,0.09,True
-0.35,-0.1,0.09,False
-0.35,-0.08,0.09,False
-0.35,-0.06,0.09,True
-0.35,-0.04,0.09,True
-0.35,-0.02,0.09,True
-0.35,0.0,0.09,True
-0.35,0.02,0.09,True
-0.35,0.04,0.09,True
-0.35,0.06,0.09,True
-0.35,0.08,0.09,True
-0.35,0.1,0.09,True
-0.35,0.12,0.09,True
-0.35,0.14,0.09,True
-0.35,0.16,0.09,True
-0.35,0.18,0.09,False
-0.35,0.2,0.09,True
-0.35,0.22,0.09,True
-0.35,0.24,0.09,True
-0.35,0.26,0.09,True
-0.35,0.28,0.09,True
-0.35,0.3,0.09,True
-0.35,0.32,0.09,True
-0.35,0.34,0.09,True
-0.35,0.36,0.09,True
-0.35,0.38,0.09,True
-0.35,0.4,0.09,True
-0.33,-0.4,0.09,True
-0.33,-0.38,0.09,True
-0.33,-0.36,0.09,True
-0.33,-0.34,0.09,True
-0.33,-0.32,0.09,True
-0.33,-0.3,0.09,True
-0.33,-0.28,0.09,True
-0.33,-0.26,0.09,True
-0.33,-0.24,0.09,True
-0.33,-0.22,0.09,True
-0.33,-0.2,0.09,True
-0.33,-0.18,0.09,True
-0.33,-0.16,0.09,True
-0.33,-0.14,0.09,True
-0.33,-0.12,0.09,True
-0.33,-0.1,0.09,True
-0.33,-0.08,0.09,False
-0.33,-0.06,0.09,True
-0.33,-0.04,0.09,True
-0.33,-0.02,0.09,True
-0.33,0.0,0.09,False
-0.33,0.02,0.09,True
-0.33,0.04,0.09,True
-0.33,0.06,0.09,False
-0.33,0.08,0.09,True
-0.33,0.1,0.09,True
-0.33,0.12,0.09,True
-0.33,0.14,0.09,True
-0.33,0.16,0.09,False
-0.33,0.18,0.09,True
-0.33,0.2,0.09,True
-0.33,0.22,0.09,True
-0.33,0.24,0.09,True
-0.33,0.26,0.09,True
-0.33,0.28,0.09,False
-0.33,0.3,0.09,True
-0.33,0.32,0.09,True
-0.33,0.34,0.09,True
-0.33,0.36,0.09,True
-0.33,0.38,0.09,True
-0.33,0.4,0.09,True
-0.31,-0.4,0.09,True
-0.31,-0.38,0.09,True
-0.31,-0.36,0.09,True
-0.31,-0.34,0.09,True
-0.31,-0.32,0.09,True
-0.31,-0.3,0.09,True
-0.31,-0.28,0.09,True
-0.31,-0.26,0.09,True
-0.31,-0.24,0.09,True
-0.31,-0.22,0.09,True
-0.31,-0.2,0.09,False
-0.31,-0.18,0.09,True
-0.31,-0.16,0.09,True
-0.31,-0.14,0.09,True
-0.31,-0.12,0.09,True
-0.31,-0.1,0.09,True
-0.31,-0.08,0.09,True
-0.31,-0.06,0.09,True
-0.31,-0.04,0.09,False
-0.31,-0.02,0.09,True
-0.31,0.0,0.09,True
-0.31,0.02,0.09,True
-0.31,0.04,0.09,True
-0.31,0.06,0.09,False
-0.31,0.08,0.09,True
-0.31,0.1,0.09,True
-0.31,0.12,0.09,True
-0.31,0.14,0.09,True
-0.31,0.16,0.09,True
-0.31,0.18,0.09,True
-0.31,0.2,0.09,True
-0.31,0.22,0.09,True
-0.31,0.24,0.09,True
-0.31,0.26,0.09,True
-0.31,0.28,0.09,True
-0.31,0.3,0.09,True
-0.31,0.32,0.09,True
-0.31,0.34,0.09,True
-0.31,0.36,0.09,True
-0.31,0.38,0.09,True
-0.31,0.4,0.09,True
-0.29,-0.4,0.09,True
-0.29,-0.38,0.09,True
-0.29,-0.36,0.09,True
-0.29,-0.34,0.09,True
-0.29,-0.32,0.09,True
-0.29,-0.3,0.09,True
-0.29,-0.28,0.09,True
-0.29,-0.26,0.09,True
-0.29,-0.24,0.09,True
-0.29,-0.22,0.09,True
-0.29,-0.2,0.09,True
-0.29,-0.18,0.09,True
-0.29,-0.16,0.09,True
-0.29,-0.14,0.09,True
-0.29,-0.12,0.09,False
-0.29,-0.1,0.09,False
-0.29,-0.08,0.09,False
-0.29,-0.06,0.09,False
-0.29,-0.04,0.09,False
-0.29,-0.02,0.09,False
-0.29,0.0,0.09,False
-0.29,0.02,0.09,False
-0.29,0.04,0.09,False
-0.29,0.06,0.09,False
-0.29,0.08,0.09,False
-0.29,0.1,0.09,False
-0.29,0.12,0.09,True
-0.29,0.14,0.09,True
-0.29,0.16,0.09,True
-0.29,0.18,0.09,False
-0.29,0.2,0.09,True
-0.29,0.22,0.09,True
-0.29,0.24,0.09,True
-0.29,0.26,0.09,True
-0.29,0.28,0.09,True
-0.29,0.3,0.09,True
-0.29,0.32,0.09,True
-0.29,0.34,0.09,True
-0.29,0.36,0.09,True
-0.29,0.38,0.09,True
-0.29,0.4,0.09,True
-0.27,-0.4,0.09,True
-0.27,-0.38,0.09,True
-0.27,-0.36,0.09,True
-0.27,-0.34,0.09,True
-0.27,-0.32,0.09,True
-0.27,-0.3,0.09,True
-0.27,-0.28,0.09,False
-0.27,-0.26,0.09,True
-0.27,-0.24,0.09,True
-0.27,-0.22,0.09,False
-0.27,-0.2,0.09,True
-0.27,-0.18,0.09,False
-0.27,-0.16,0.09,True
-0.27,-0.14,0.09,False
-0.27,-0.12,0.09,False
-0.27,-0.1,0.09,False
-0.27,-0.08,0.09,False
-0.27,-0.06,0.09,False
-0.27,-0.04,0.09,False
-0.27,-0.02,0.09,False
-0.27,0.0,0.09,False
-0.27,0.02,0.09,False
-0.27,0.04,0.09,False
-0.27,0.06,0.09,False
-0.27,0.08,0.09,False
-0.27,0.1,0.09,False
-0.27,0.12,0.09,False
-0.27,0.14,0.09,False
-0.27,0.16,0.09,False
-0.27,0.18,0.09,True
